date,z_300.0,z_400.0,z_500.0,q_300.0,q_400.0,q_500.0,crwc_300.0,crwc_400.0,crwc_500.0,t_300.0,t_400.0,t_500.0,u_300.0,u_400.0,u_500.0,v_300.0,v_400.0,v_500.0,u10,v10,d2m,t2m,sp,z,tp,ssrd,strd,sf
1940-01-01,94812.32,74360.43,57534.5,0.0004463926,0.001279161,0.0021857847,0.0,0.0,0.0,-33.647003,-17.487457,-4.616638,-6.099928,0.045610625,-0.38207555,-3.4616337,1.4535751,3.116183,0.32863873,0.21486929,-0.051605225,6.205353,61904.39,40786.863,0.02927772,3277854.5,1974766.2,0.0
1940-01-02,94770.72,74318.555,57512.16,0.0005073281,0.001330241,0.0020429713,0.0,0.0,0.0,-33.23831,-17.62619,-5.1690674,-2.1691,4.2475066,1.60709,0.12660763,2.6031556,3.0860384,0.5882636,0.22932589,1.566925,4.754242,61876.953,40786.863,0.5862331,3717622.8,4054675.2,1.1921293e-07
1940-01-03,94692.0,74215.1,57470.582,0.0005537526,0.0012547311,0.0019425085,0.0,0.0,0.0,-32.392746,-17.90477,-6.141968,-4.7011533,2.222451,2.2974446,-0.6072333,0.7190614,-1.0146053,0.3105743,-0.19799827,1.2436829,4.6039734,61876.234,40786.863,0.5730844,3139294.8,4116405.5,1.3112367e-07
1940-01-04,94635.02,74158.93,57418.48,0.00056404964,0.0016129385,0.002860388,0.0,0.0,0.0,-32.79019,-18.029892,-6.5081787,-5.5355325,-0.47476497,0.91304094,-5.2403984,-3.3275871,-3.5434408,0.19387932,-0.01804009,2.3971863,4.376068,61869.957,40786.863,1.803716,2481867.8,4220082.0,0.00021532457
1940-01-05,94583.75,74148.6,57409.434,0.000398008,0.0009985146,0.003003086,0.0,0.0,0.0,-33.62581,-17.850143,-6.6307983,-6.6442475,-1.5056039,0.2734739,-9.742602,-7.8004627,-2.8753378,0.3988636,0.18872283,2.1490173,3.8749695,61843.035,40786.863,0.9532798,2525109.0,4373661.0,0.0001110633
1940-01-06,94652.73,74217.64,57421.84,0.00023158548,0.00039066953,0.002485932,0.0,0.0,0.0,-33.975006,-17.366913,-5.633545,-1.2715561,1.8246139,-0.3975748,-11.290836,-7.81868,-2.1798785,0.3916914,0.124708295,1.3523254,4.347992,61844.598,40786.863,0.048823107,3673197.8,4143758.0,2.3837492e-07
1940-01-07,94717.03,74252.22,57448.137,0.0002864078,0.00080659287,0.0022773128,0.0,0.0,0.0,-34.130417,-16.60495,-5.7112427,5.592451,3.387389,1.9379877,-5.736091,-4.2298846,-1.9432901,0.49147946,0.37358046,1.1661072,4.104889,61857.875,40786.863,0.37102148,3812345.8,4205615.0,6.185819e-06
1940-01-08,94697.875,74252.54,57484.42,0.00031834468,0.0008516896,0.0015179514,0.0,0.0,0.0,-34.105667,-17.43808,-5.5068054,4.9908934,4.2841377,3.9706137,2.993911,0.6039924,3.7599204,0.829359,0.6493832,-0.8650818,4.2572937,61847.055,40786.863,0.14982885,4057892.0,3746015.0,2.3846223e-07
1940-01-09,94687.34,74163.52,57361.734,0.0004356912,0.00092892075,0.0015076582,0.0,0.0,0.0,-32.504425,-16.83133,-5.3495483,-1.0651118,3.3757465,2.4861858,1.3054907,5.7803764,5.3012066,0.56671005,0.541153,-1.2200012,4.259552,61770.77,40786.863,0.25697693,3605521.5,3616453.0,4.7693902e-08
1940-01-10,94704.51,74121.805,57299.848,0.00051063875,0.0016850975,0.0031694972,0.0,0.0,0.0,-32.225357,-16.239746,-5.709442,-2.2214794,1.6906534,-0.20032234,-0.25328782,1.6176411,0.06566945,0.093329474,-0.31642804,3.215973,5.4790344,61758.76,40786.863,0.8134023,2981281.8,4383075.0,1.7521088e-06
